Employee Name,Gender,Employee ID,Work Experience,Position,Job Title,Educational Background,Recruitment Channel,Past Background,Interviewers Evaluation,Age,City,Promotion Status,Employee NPS,Training Duration h,Salary Adjustment,Length of Service,Supervisors Span,Non-Compete Clause,Performance Label
钱磊,男,274665,8,技术经理,中级,硕士,招聘网站,新势力主机厂,75分位,20-25岁,常州市,有,3,24,0.06 ,0-6个月,4,无,TRUE
廖丽,女,101281,4,运营经理,高级,博士,内推,阿里系,其他,40岁以上,常州市,有,3,111,0.56 ,5年以上,1,无,TRUE
杜磊,男,397983,9,市场专员,初级,博士,内推,供应链上下游企业,75分位,40岁以上,其他城市,无,5,23,(0.00),0-6个月,9,有,FALSE
秦娜,男,394071,13,技术支持,初级,学士,猎头,阿里系,50分位,30-35岁,其他城市,有,4,246,0.24 ,5年以上,9,无,TRUE
姚涛,女,419878,14,销售代表,初级,学士,招聘网站,供应链上下游企业,其他,30-35岁,北京市,无,2,393,1.76 ,5年以上,3,有,TRUE
易勇,男,427004,1,运营专员,初级,博士,猎头,新势力主机厂,50分位,30-35岁,常州市,有,5,136,1.41 ,2-5年,6,有,TRUE
孔军,女,103776,8,数据分析师,初级,学士,招聘网站,新势力主机厂,其他,35-40岁,上海市,有,7,126,0.83 ,6个月-1年,6,有,TRUE
梁明,男,114503,3,市场经理,高级,博士,猎头,腾讯系,75分位,30-35岁,上海市,有,4,259,1.93 ,1-2年,7,有,TRUE
雷霞,女,255659,13,销售主管,中级,硕士,内推,阿里系,其他,30-35岁,上海市,有,2,203,1.93 ,0-6个月,9,无,TRUE
贺磊,女,183304,12,运营经理,高级,学士,猎头,阿里系,75分位,40岁以上,常州市,有,7,193,0.85 ,5年以上,4,无,TRUE
崔静,男,257279,14,技术支持,高级,学士,内推,传统主机厂,75分位,30-35岁,常州市,有,9,170,1.90 ,0-6个月,6,无,TRUE
周娜,男,466352,13,销售代表,初级,博士,内推,传统主机厂,75分位,35-40岁,上海市,有,1,303,0.21 ,1-2年,9,有,TRUE
武磊,女,131681,5,运营专员,高级,硕士,招聘网站,阿里系,50分位,25-30岁,北京市,无,8,193,1.78 ,1-2年,2,有,TRUE
吴刚,男,397451,0,数据分析师,中级,硕士,招聘网站,腾讯系,75分位,40岁以上,北京市,有,7,207,1.39 ,1-2年,5,有,TRUE
易霞,男,454446,3,市场经理,高级,博士,猎头,阿里系,其他,25-30岁,其他城市,有,9,293,0.05 ,5年以上,10,无,TRUE
何静,男,467441,7,销售主管,高级,学士,猎头,阿里系,75分位,25-30岁,常州市,有,2,149,1.83 ,1-2年,9,有,TRUE
潘刚,女,421356,14,市场经理,初级,博士,猎头,新势力主机厂,其他,20-25岁,其他城市,无,7,143,0.81 ,0-6个月,7,有,TRUE
钱霞,男,277249,2,数据分析师,初级,博士,内推,传统主机厂,其他,20-25岁,其他城市,有,5,213,1.71 ,5年以上,2,无,TRUE
戴娟,女,496012,14,产品经理,高级,硕士,内推,新势力主机厂,75分位,30-35岁,其他城市,无,7,78,1.52 ,6个月-1年,6,有,TRUE
何芳,女,359054,9,运营专员,中级,博士,招聘网站,新势力主机厂,其他,25-30岁,常州市,无,7,380,0.33 ,1-2年,2,有,TRUE
谭平,男,144293,6,人力资源经理,高级,学士,招聘网站,新势力主机厂,其他,30-35岁,上海市,有,10,308,0.70 ,5年以上,5,有,TRUE
熊刚,男,166523,14,产品经理,高级,硕士,内推,新势力主机厂,75分位,40岁以上,常州市,有,3,258,0.74 ,1-2年,4,无,TRUE
侯静,女,399162,10,销售主管,初级,学士,内推,新势力主机厂,其他,40岁以上,常州市,有,5,379,1.17 ,0-6个月,9,有,TRUE
孙桂英,男,406478,7,数据分析师,中级,博士,猎头,腾讯系,其他,30-35岁,上海市,无,6,233,0.15 ,2-5年,5,无,TRUE
冯秀兰,女,275507,11,软件工程师,高级,硕士,内推,新势力主机厂,50分位,40岁以上,上海市,无,3,201,1.10 ,2-5年,1,有,TRUE
邵霞,男,226521,1,财务主管,高级,博士,内推,阿里系,50分位,30-35岁,北京市,无,7,277,0.51 ,0-6个月,5,有,TRUE
贺洋,男,339147,3,销售经理,初级,学士,内推,腾讯系,其他,25-30岁,上海市,无,3,290,0.68 ,0-6个月,9,无,TRUE
易洋,女,193676,12,人力资源专员,高级,硕士,猎头,传统主机厂,75分位,30-35岁,常州市,有,5,328,1.57 ,1-2年,5,无,TRUE
贺秀兰,男,15178,1,运营经理,中级,学士,内推,新势力主机厂,75分位,20-25岁,常州市,无,4,46,1.21 ,1-2年,5,有,TRUE
曹秀英,女,42201,10,市场专员,初级,博士,内推,供应链上下游企业,50分位,20-25岁,上海市,有,4,72,0.81 ,2-5年,8,无,TRUE
廖洋,女,101864,7,技术总监,初级,硕士,猎头,传统主机厂,50分位,25-30岁,北京市,无,4,245,1.45 ,5年以上,7,有,TRUE
丁超,女,436275,1,销售代表,高级,学士,猎头,供应链上下游企业,75分位,35-40岁,常州市,无,6,261,1.19 ,2-5年,9,有,TRUE
傅勇,女,129448,5,财务分析师,中级,硕士,猎头,阿里系,其他,20-25岁,其他城市,有,4,112,1.31 ,0-6个月,10,有,TRUE
锺涛,女,275125,3,人力资源经理,高级,硕士,招聘网站,腾讯系,其他,35-40岁,常州市,有,8,300,0.45 ,5年以上,9,有,TRUE
袁静,女,179300,4,产品经理,初级,学士,招聘网站,新势力主机厂,其他,35-40岁,常州市,无,6,113,0.85 ,0-6个月,3,无,TRUE
汪勇,女,181229,0,运营专员,高级,硕士,猎头,阿里系,50分位,20-25岁,其他城市,无,3,289,1.61 ,5年以上,4,有,TRUE
卢勇,女,370557,1,数据分析师,初级,硕士,内推,阿里系,75分位,30-35岁,常州市,无,4,400,0.60 ,1-2年,0,无,TRUE
龙涛,女,399680,12,销售主管,高级,硕士,猎头,腾讯系,其他,25-30岁,北京市,无,8,56,1.82 ,2-5年,0,有,TRUE
任霞,男,442945,11,市场经理,中级,博士,猎头,新势力主机厂,75分位,40岁以上,其他城市,有,8,211,0.76 ,6个月-1年,4,有,TRUE
方伟,女,154888,3,财务经理,中级,博士,猎头,传统主机厂,75分位,35-40岁,常州市,有,2,56,1.13 ,6个月-1年,7,无,TRUE
秦芳,男,21364,9,技术经理,高级,学士,招聘网站,腾讯系,75分位,20-25岁,常州市,无,6,240,(0.43),0-6个月,6,有,FALSE
许杰,男,483719,10,运营经理,初级,硕士,招聘网站,传统主机厂,其他,25-30岁,其他城市,无,8,171,1.38 ,2-5年,7,有,TRUE
卢勇,女,247085,14,市场专员,高级,博士,内推,新势力主机厂,其他,30-35岁,其他城市,无,4,95,1.52 ,6个月-1年,0,有,TRUE
武丽,女,342546,13,技术支持,初级,学士,内推,供应链上下游企业,50分位,20-25岁,北京市,有,1,155,0.46 ,0-6个月,4,有,TRUE
孟娟,男,19528,7,销售代表,高级,学士,内推,供应链上下游企业,75分位,20-25岁,北京市,无,3,389,0.57 ,1-2年,0,有,TRUE
江秀兰,男,323770,10,运营专员,高级,硕士,猎头,新势力主机厂,50分位,35-40岁,上海市,有,5,52,1.48 ,6个月-1年,8,无,TRUE
彭霞,男,272346,8,数据分析师,高级,硕士,猎头,腾讯系,其他,35-40岁,上海市,有,8,94,0.01 ,2-5年,3,无,TRUE
江静,女,205341,7,市场经理,初级,硕士,招聘网站,腾讯系,50分位,25-30岁,常州市,有,5,33,0.44 ,0-6个月,1,无,TRUE
邹洋,女,215053,10,销售主管,初级,博士,招聘网站,阿里系,75分位,30-35岁,其他城市,有,10,207,1.55 ,2-5年,8,无,TRUE
宋明,男,222770,10,运营经理,高级,博士,内推,阿里系,75分位,25-30岁,上海市,有,9,392,1.82 ,2-5年,8,有,TRUE
高磊,女,376814,9,技术支持,初级,硕士,猎头,腾讯系,50分位,35-40岁,其他城市,有,9,262,0.50 ,2-5年,9,有,TRUE
韩磊,女,377225,8,销售代表,高级,硕士,招聘网站,供应链上下游企业,其他,30-35岁,上海市,有,5,160,1.83 ,5年以上,7,无,TRUE
彭平,女,102864,14,运营专员,初级,硕士,猎头,传统主机厂,其他,40岁以上,其他城市,无,3,249,0.05 ,0-6个月,1,有,TRUE
邱敏,女,392084,10,数据分析师,中级,学士,招聘网站,供应链上下游企业,其他,40岁以上,常州市,无,3,162,1.58 ,0-6个月,0,有,TRUE
郑芳,女,40455,0,市场经理,初级,硕士,内推,阿里系,75分位,40岁以上,常州市,有,4,378,1.97 ,0-6个月,1,无,TRUE
杜明,女,140582,11,销售主管,高级,学士,内推,新势力主机厂,75分位,25-30岁,其他城市,无,9,199,0.26 ,0-6个月,0,无,TRUE
余军,男,351032,4,市场经理,高级,博士,内推,供应链上下游企业,其他,40岁以上,其他城市,无,5,103,(0.56),1-2年,7,无,FALSE
戴杰,女,150051,6,数据分析师,高级,学士,招聘网站,传统主机厂,其他,25-30岁,上海市,无,2,203,1.45 ,5年以上,1,有,TRUE
薛勇,男,107040,14,产品经理,高级,博士,招聘网站,阿里系,其他,20-25岁,北京市,无,6,291,1.08 ,1-2年,6,无,TRUE
胡超,女,35826,1,运营专员,高级,学士,招聘网站,供应链上下游企业,75分位,30-35岁,其他城市,有,8,222,1.74 ,0-6个月,8,无,TRUE
陆涛,男,417807,13,人力资源经理,中级,硕士,招聘网站,阿里系,75分位,40岁以上,上海市,有,6,283,1.18 ,5年以上,2,有,TRUE
林平,男,422127,6,产品经理,高级,硕士,内推,腾讯系,其他,40岁以上,北京市,有,3,84,1.82 ,0-6个月,9,无,TRUE
汪艳,男,357322,5,销售主管,高级,硕士,招聘网站,阿里系,50分位,35-40岁,其他城市,有,5,63,0.25 ,0-6个月,5,无,TRUE
邱静,女,406993,12,数据分析师,高级,学士,内推,新势力主机厂,50分位,30-35岁,北京市,无,8,278,1.71 ,0-6个月,0,无,TRUE
康桂英,女,43,11,软件工程师,高级,硕士,招聘网站,供应链上下游企业,75分位,20-25岁,北京市,有,7,356,0.08 ,0-6个月,1,无,TRUE
许明,女,462161,1,财务主管,中级,硕士,招聘网站,阿里系,其他,30-35岁,上海市,无,1,308,0.65 ,1-2年,4,无,TRUE
方桂英,男,36001,2,销售经理,高级,学士,猎头,腾讯系,50分位,30-35岁,北京市,无,8,53,1.90 ,6个月-1年,5,无,TRUE
赖艳,男,144900,2,人力资源专员,高级,硕士,内推,新势力主机厂,75分位,30-35岁,其他城市,无,9,236,0.34 ,6个月-1年,10,无,TRUE
朱静,女,123649,5,运营经理,中级,博士,招聘网站,传统主机厂,75分位,35-40岁,常州市,有,9,50,1.51 ,2-5年,10,有,TRUE
蔡霞,女,38878,12,市场专员,高级,博士,内推,腾讯系,50分位,40岁以上,其他城市,无,2,343,1.70 ,6个月-1年,5,有,TRUE
高秀英,女,95378,9,技术总监,高级,学士,猎头,新势力主机厂,75分位,20-25岁,北京市,有,10,369,1.63 ,2-5年,4,无,TRUE
廖平,男,435393,3,销售代表,中级,学士,内推,传统主机厂,50分位,35-40岁,常州市,无,4,309,1.34 ,6个月-1年,7,有,TRUE
张秀兰,男,356598,4,财务分析师,高级,博士,招聘网站,传统主机厂,50分位,25-30岁,其他城市,有,2,243,1.47 ,0-6个月,5,无,TRUE
郝敏,女,376193,8,人力资源经理,高级,博士,内推,传统主机厂,其他,40岁以上,上海市,无,2,202,1.18 ,6个月-1年,6,有,TRUE
赖磊,男,87515,11,产品经理,初级,学士,内推,腾讯系,其他,30-35岁,常州市,无,2,275,0.61 ,5年以上,3,有,TRUE
姚秀英,女,331599,5,运营专员,高级,学士,猎头,供应链上下游企业,50分位,35-40岁,上海市,无,2,372,0.43 ,6个月-1年,2,有,TRUE
郝伟,男,278730,12,数据分析师,中级,学士,猎头,腾讯系,50分位,20-25岁,其他城市,无,5,13,1.44 ,1-2年,8,无,TRUE
薛超,男,55204,8,销售主管,高级,硕士,内推,阿里系,75分位,35-40岁,上海市,无,9,297,1.88 ,1-2年,1,无,TRUE
冯娜,男,363677,8,市场经理,初级,博士,猎头,阿里系,其他,40岁以上,常州市,无,1,28,1.36 ,0-6个月,1,无,TRUE
蔡敏,女,204579,3,财务经理,高级,学士,猎头,传统主机厂,75分位,35-40岁,其他城市,无,8,236,1.44 ,6个月-1年,4,无,TRUE
袁芳,男,137105,4,技术经理,初级,学士,猎头,传统主机厂,75分位,40岁以上,北京市,有,1,307,1.70 ,1-2年,9,无,TRUE
张芳,男,485242,9,运营经理,中级,博士,猎头,阿里系,其他,30-35岁,北京市,无,1,263,0.07 ,6个月-1年,2,无,TRUE
万超,男,195896,11,市场专员,高级,博士,招聘网站,腾讯系,其他,25-30岁,其他城市,有,9,301,1.40 ,1-2年,8,无,TRUE
林秀英,男,140435,5,技术支持,中级,硕士,猎头,腾讯系,50分位,30-35岁,上海市,有,9,169,1.14 ,6个月-1年,1,无,TRUE
苏丽,女,185514,9,销售代表,中级,学士,招聘网站,腾讯系,50分位,25-30岁,其他城市,有,3,364,0.58 ,5年以上,4,无,TRUE
杨娟,女,293597,3,运营专员,高级,硕士,猎头,新势力主机厂,75分位,20-25岁,上海市,有,2,15,0.69 ,2-5年,2,无,TRUE
钱明,女,235739,7,数据分析师,初级,学士,招聘网站,腾讯系,75分位,35-40岁,北京市,无,8,268,1.75 ,0-6个月,9,有,TRUE
黎敏,男,24920,14,市场经理,中级,硕士,猎头,腾讯系,其他,25-30岁,常州市,无,2,144,1.09 ,1-2年,7,有,TRUE
彭磊,女,258291,10,销售主管,高级,博士,招聘网站,供应链上下游企业,75分位,25-30岁,北京市,有,5,273,1.84 ,2-5年,5,无,TRUE
吴明,男,203534,1,运营经理,初级,学士,招聘网站,供应链上下游企业,50分位,25-30岁,北京市,有,5,53,0.21 ,5年以上,2,有,TRUE
赵强,男,222658,3,技术支持,中级,博士,猎头,阿里系,50分位,30-35岁,上海市,有,8,319,1.88 ,1-2年,3,无,TRUE
李杰,男,96386,9,销售代表,高级,硕士,猎头,阿里系,其他,30-35岁,北京市,有,7,396,1.32 ,5年以上,7,无,TRUE
熊秀英,男,424985,0,运营专员,中级,博士,招聘网站,新势力主机厂,其他,25-30岁,上海市,有,2,92,1.51 ,2-5年,7,有,TRUE
潘刚,女,165014,8,数据分析师,中级,学士,内推,供应链上下游企业,其他,30-35岁,其他城市,无,9,178,1.16 ,6个月-1年,1,有,TRUE
江超,男,335599,0,市场经理,高级,博士,猎头,传统主机厂,75分位,40岁以上,上海市,无,4,226,0.45 ,2-5年,5,无,TRUE
杜艳,女,438287,8,销售主管,初级,硕士,内推,传统主机厂,75分位,20-25岁,常州市,无,9,385,1.17 ,1-2年,0,无,TRUE
刘涛,女,79764,4,市场经理,高级,学士,内推,新势力主机厂,其他,35-40岁,常州市,无,7,181,0.59 ,1-2年,0,有,TRUE
曹刚,男,46400,4,数据分析师,初级,学士,招聘网站,腾讯系,50分位,20-25岁,上海市,有,9,184,0.66 ,6个月-1年,4,无,TRUE
徐洋,男,440738,14,产品经理,高级,硕士,猎头,传统主机厂,其他,20-25岁,常州市,无,3,294,0.96 ,5年以上,3,有,TRUE
田娜,女,350297,14,运营专员,中级,学士,招聘网站,新势力主机厂,50分位,25-30岁,北京市,无,3,351,0.43 ,5年以上,1,无,TRUE
胡敏,男,375225,8,人力资源经理,初级,硕士,猎头,阿里系,其他,40岁以上,上海市,有,2,171,1.36 ,5年以上,8,有,TRUE
周平,男,235969,1,产品经理,中级,硕士,招聘网站,腾讯系,75分位,30-35岁,其他城市,有,6,380,0.45 ,2-5年,0,有,TRUE
毛明,女,465125,2,销售主管,中级,博士,内推,阿里系,75分位,20-25岁,其他城市,有,2,277,1.16 ,1-2年,10,有,TRUE
龚强,女,270442,5,数据分析师,中级,硕士,内推,阿里系,其他,20-25岁,其他城市,无,4,195,0.84 ,2-5年,7,有,TRUE
李伟,男,382531,8,软件工程师,中级,学士,内推,腾讯系,50分位,20-25岁,北京市,有,7,285,0.03 ,1-2年,8,无,TRUE
吕秀英,男,372259,4,财务主管,初级,学士,内推,阿里系,其他,40岁以上,常州市,无,1,172,0.75 ,2-5年,10,无,TRUE
邹芳,女,100925,7,销售经理,高级,博士,内推,供应链上下游企业,75分位,40岁以上,北京市,有,3,383,1.14 ,1-2年,10,有,TRUE
龙刚,女,58780,2,人力资源专员,初级,博士,猎头,腾讯系,50分位,40岁以上,北京市,无,3,329,0.59 ,6个月-1年,9,无,TRUE
彭超,男,476287,2,运营经理,初级,博士,招聘网站,供应链上下游企业,50分位,25-30岁,上海市,无,8,205,0.40 ,0-6个月,5,有,TRUE
赖娟,女,239614,8,市场专员,高级,博士,内推,传统主机厂,其他,35-40岁,上海市,有,5,350,0.40 ,1-2年,1,无,TRUE
魏秀兰,男,254465,10,技术总监,初级,博士,招聘网站,传统主机厂,50分位,25-30岁,常州市,有,9,249,0.24 ,6个月-1年,6,有,TRUE
贺桂英,女,460420,5,销售代表,中级,博士,内推,新势力主机厂,75分位,40岁以上,北京市,无,6,249,0.55 ,2-5年,1,有,TRUE
郭秀英,女,192625,9,财务分析师,中级,学士,猎头,供应链上下游企业,75分位,25-30岁,北京市,有,9,243,0.98 ,2-5年,6,无,TRUE
宋洋,女,234712,8,人力资源经理,中级,学士,内推,腾讯系,其他,40岁以上,常州市,无,2,104,0.67 ,0-6个月,4,无,TRUE
尹秀英,女,222244,6,产品经理,中级,硕士,招聘网站,腾讯系,50分位,40岁以上,其他城市,无,5,139,0.73 ,0-6个月,1,无,TRUE
乔丽,女,322849,7,运营专员,初级,博士,招聘网站,腾讯系,其他,20-25岁,上海市,有,10,74,1.15 ,2-5年,4,有,TRUE
江刚,女,97333,12,数据分析师,初级,学士,招聘网站,腾讯系,50分位,20-25岁,上海市,无,5,250,0.81 ,1-2年,3,无,TRUE
戴艳,男,477407,0,销售主管,初级,博士,招聘网站,阿里系,75分位,30-35岁,其他城市,无,3,40,0.38 ,2-5年,2,有,TRUE
姚强,男,436739,8,市场经理,高级,学士,猎头,腾讯系,75分位,30-35岁,上海市,有,6,261,0.03 ,0-6个月,2,无,TRUE
邹娜,女,52220,12,财务经理,中级,博士,猎头,阿里系,75分位,40岁以上,北京市,有,6,218,1.08 ,2-5年,8,有,TRUE
锺芳,男,227630,10,技术经理,高级,学士,内推,供应链上下游企业,75分位,40岁以上,上海市,有,7,293,0.79 ,2-5年,4,无,TRUE
康娜,男,105573,6,运营经理,初级,博士,内推,新势力主机厂,其他,30-35岁,其他城市,有,4,395,1.96 ,0-6个月,6,无,TRUE
田强,女,278685,12,市场专员,初级,博士,内推,传统主机厂,75分位,25-30岁,常州市,有,5,96,1.70 ,1-2年,4,有,TRUE
任秀英,男,342400,12,技术支持,高级,硕士,内推,新势力主机厂,75分位,25-30岁,常州市,有,4,378,0.88 ,6个月-1年,6,有,TRUE
杜明,男,64500,8,销售代表,中级,博士,猎头,新势力主机厂,75分位,25-30岁,其他城市,有,6,242,1.17 ,2-5年,9,无,TRUE
郑平,男,209902,14,运营专员,中级,硕士,猎头,腾讯系,其他,40岁以上,其他城市,有,8,252,1.42 ,2-5年,1,有,TRUE
李明,女,471951,1,数据分析师,中级,博士,内推,阿里系,其他,35-40岁,北京市,无,9,19,0.62 ,6个月-1年,10,无,TRUE
薛磊,男,310574,11,市场经理,初级,博士,内推,新势力主机厂,其他,20-25岁,其他城市,有,9,192,1.04 ,6个月-1年,8,有,TRUE
曾洋,男,151763,0,销售主管,中级,学士,招聘网站,供应链上下游企业,其他,40岁以上,上海市,有,5,350,0.33 ,2-5年,4,有,TRUE
梁娜,男,451418,8,运营经理,中级,博士,内推,新势力主机厂,其他,40岁以上,常州市,有,3,73,1.12 ,0-6个月,3,有,TRUE
钱秀兰,女,372570,11,技术支持,中级,学士,猎头,传统主机厂,75分位,25-30岁,北京市,有,9,280,1.58 ,5年以上,8,有,TRUE
吕静,女,61189,13,销售代表,初级,博士,内推,供应链上下游企业,50分位,30-35岁,上海市,无,4,360,1.25 ,5年以上,3,无,TRUE
余艳,男,289904,12,运营专员,中级,博士,招聘网站,腾讯系,其他,40岁以上,北京市,有,7,318,1.35 ,5年以上,6,有,TRUE
陈磊,男,56803,9,数据分析师,中级,博士,内推,传统主机厂,50分位,35-40岁,北京市,无,2,353,1.08 ,6个月-1年,6,无,TRUE
何强,男,422078,3,市场经理,高级,硕士,猎头,阿里系,其他,20-25岁,其他城市,有,3,292,0.49 ,0-6个月,9,有,TRUE
丁刚,男,461814,12,销售主管,初级,博士,内推,供应链上下游企业,其他,20-25岁,上海市,有,8,275,0.51 ,5年以上,7,无,TRUE
秦艳,女,162228,15,市场经理,高级,硕士,招聘网站,腾讯系,其他,30-35岁,北京市,有,3,377,0.74 ,1-2年,7,有,TRUE
陈刚,男,499821,13,数据分析师,中级,博士,猎头,传统主机厂,75分位,40岁以上,其他城市,有,10,56,0.75 ,2-5年,4,有,TRUE
潘超,女,486656,13,产品经理,中级,博士,内推,传统主机厂,75分位,35-40岁,常州市,无,3,168,0.33 ,0-6个月,10,无,TRUE
魏强,男,470937,12,运营专员,高级,博士,内推,新势力主机厂,50分位,20-25岁,其他城市,有,9,239,0.67 ,6个月-1年,2,有,TRUE
朱勇,男,373308,4,人力资源经理,中级,学士,内推,传统主机厂,75分位,30-35岁,其他城市,有,7,304,1.57 ,5年以上,4,有,TRUE
邹芳,女,221054,4,产品经理,高级,博士,招聘网站,阿里系,75分位,40岁以上,其他城市,无,9,250,1.36 ,2-5年,6,无,TRUE
宋娟,女,480752,13,销售主管,初级,学士,内推,阿里系,50分位,20-25岁,其他城市,有,8,16,1.22 ,0-6个月,9,无,TRUE
文娟,女,408423,2,数据分析师,初级,博士,猎头,腾讯系,75分位,35-40岁,常州市,无,9,199,1.84 ,2-5年,6,有,TRUE
文强,男,454207,15,软件工程师,高级,博士,猎头,阿里系,50分位,40岁以上,其他城市,无,2,243,0.73 ,0-6个月,4,无,TRUE
史军,男,305653,12,财务主管,中级,学士,内推,供应链上下游企业,其他,25-30岁,上海市,无,6,96,1.97 ,2-5年,2,有,TRUE
高强,女,492977,3,销售经理,中级,学士,内推,新势力主机厂,75分位,30-35岁,上海市,无,2,213,0.59 ,0-6个月,5,无,TRUE
郝刚,男,15560,8,人力资源专员,初级,学士,内推,供应链上下游企业,50分位,30-35岁,其他城市,无,5,103,(0.70),1-2年,7,无,FALSE
田涛,女,385771,6,运营经理,初级,博士,招聘网站,新势力主机厂,其他,35-40岁,常州市,无,7,132,0.00 ,2-5年,7,有,FALSE
徐平,男,251327,10,市场专员,高级,硕士,招聘网站,供应链上下游企业,其他,20-25岁,北京市,无,2,52,0.43 ,6个月-1年,8,无,TRUE
谢丽,女,356389,12,技术总监,高级,硕士,内推,腾讯系,50分位,40岁以上,上海市,无,4,150,0.54 ,2-5年,3,无,TRUE
乔刚,男,397477,3,销售代表,初级,博士,猎头,新势力主机厂,50分位,25-30岁,其他城市,无,4,251,1.54 ,0-6个月,3,无,TRUE
段桂英,男,89379,13,财务分析师,高级,学士,招聘网站,传统主机厂,50分位,35-40岁,上海市,无,1,249,1.46 ,1-2年,1,无,TRUE
赵刚,男,334597,9,人力资源经理,初级,学士,猎头,阿里系,其他,30-35岁,常州市,无,9,113,0.88 ,2-5年,1,无,TRUE
孙伟,男,330942,9,产品经理,高级,博士,猎头,腾讯系,其他,30-35岁,常州市,有,5,27,0.05 ,0-6个月,9,有,TRUE
龙丽,男,156720,11,运营专员,初级,硕士,招聘网站,传统主机厂,50分位,40岁以上,常州市,无,7,138,0.60 ,6个月-1年,8,无,TRUE
黎杰,男,381755,9,数据分析师,初级,学士,猎头,供应链上下游企业,75分位,20-25岁,北京市,无,9,53,1.12 ,0-6个月,8,有,TRUE
宋洋,男,229994,9,销售主管,高级,硕士,猎头,阿里系,75分位,35-40岁,常州市,无,6,70,1.86 ,1-2年,4,有,TRUE
田涛,男,305954,6,市场经理,高级,学士,招聘网站,新势力主机厂,75分位,20-25岁,其他城市,无,6,52,0.62 ,1-2年,5,有,TRUE
蔡强,女,250598,2,财务经理,中级,硕士,招聘网站,阿里系,75分位,25-30岁,上海市,无,4,86,1.65 ,6个月-1年,2,有,TRUE
苏芳,女,436407,10,技术经理,高级,学士,招聘网站,新势力主机厂,75分位,20-25岁,北京市,无,2,103,0.48 ,0-6个月,2,无,TRUE
杜勇,男,393711,13,运营经理,高级,学士,猎头,供应链上下游企业,其他,35-40岁,常州市,无,9,178,1.60 ,6个月-1年,7,有,TRUE
龚杰,女,198602,14,市场专员,初级,学士,猎头,阿里系,75分位,40岁以上,上海市,无,4,26,1.35 ,0-6个月,6,有,TRUE
徐娟,女,481794,12,技术支持,高级,学士,招聘网站,阿里系,75分位,20-25岁,上海市,有,2,188,0.17 ,2-5年,3,有,TRUE
石娜,男,379125,9,销售代表,中级,硕士,猎头,阿里系,75分位,40岁以上,其他城市,有,5,317,1.49 ,2-5年,3,有,TRUE
高艳,男,406741,14,运营专员,中级,博士,招聘网站,供应链上下游企业,75分位,20-25岁,常州市,无,3,36,(0.89),0-6个月,7,无,FALSE
赵刚,女,59182,1,数据分析师,初级,学士,招聘网站,传统主机厂,其他,25-30岁,其他城市,无,9,102,0.81 ,5年以上,7,有,TRUE
